,,,,
,Nama,Jumlah terjual,Jumlah Harga Jual,Bulan
,Paid promote oyster,5,100000,Juni
,Paid promote sand1,1,10000,Juni
,Paid promote starfish,1,30000,Juni
,Paid promote wave,1,55000,Juni
,Sus Kering,58,986000,Juni
,Makaroni,33,561000,Juli
,Paid promote oyster,6,120000,Juli
,Paid promote sand1,6,60000,Juli
,Paid promote starfish,2,60000,Juli
,Sus kering,40,680000,Juli
,Paid promote oyster,6,120000,Agustus
,Paid promote sand1,1,10000,Agustus
,Paid promote starfish,2,60000,Agustus
,Paid promote wave,1,55000,Agustus
,Makaroni,17,289000,Agustus
,Sus Kering,11,187000,Agustus
,Makaroni,24,408000,September
,Paid promote sand1,1,10000,September
,Sus kering,2,34000,September
,Makaroni,18,306000,Oktober
,chocobro,16,240000,November
,Chocobro,5,75000,Desember
,Chocobro,11,165000,Januari
,chocobro,18,270000,Februari
,Makaroni,2,34000,Februari
,Paket makaroni & cookies,1,25000,Februari
,Jasa review,1,205000,Februari
,Paid promote,1,230000,Februari